p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Cell_type,GENE
0.0704152728976676,0.151670353976064,0.273,0.248,1,Neurons,Eml6
0.0709535235551568,-0.192512311674529,0.106,0.127,1,Neurons,Brms1l
0.0713317106750286,-0.194271239213782,0.119,0.141,1,Neurons,Gabbr2
0.071603404428713,-0.112946797215998,0.433,0.462,1,Neurons,6030443J06Rik
0.0716890264056948,-0.136107442903319,0.183,0.206,1,Neurons,Itfg1
0.071741993080899,-0.162727489593045,0.087,0.107,1,Neurons,Tpp2
0.072589272257393,-0.126057793688917,0.407,0.429,1,Neurons,Prkar1a
0.0733949558161192,0.115666526925162,0.161,0.135,1,Neurons,Fpr3
0.0735436141540879,0.120193110487366,0.129,0.108,1,Neurons,Cdk13
0.0736608655977548,-0.165132817692366,0.629,0.64,1,Neurons,Pgrmc1
0.0740730860345459,-0.175316462622694,0.444,0.461,1,Neurons,Pld3
0.0742362337673112,0.113709057750496,0.338,0.305,1,Neurons,A230006K03Rik
0.0743260633290234,-0.144487134166423,0.301,0.327,1,Neurons,Fam32a
0.0746212647989333,-0.154152199708467,0.207,0.23,1,Neurons,Sdcbp
0.0747849157872381,-0.114063811897515,0.347,0.375,1,Neurons,Tpm3-rs7
0.0747975526366886,0.102377341990704,0.177,0.152,1,Neurons,Ccdc85b
0.0751017778902236,0.137003236298601,0.107,0.087,1,Neurons,Actr1b
0.0753998673504056,-0.167809372189963,0.256,0.281,1,Neurons,Ptplad1
0.0756450732277988,-0.179960986905222,0.112,0.132,1,Neurons,Arhgef28
0.0757200674139034,0.224919324333605,0.221,0.195,1,Neurons,Kcnd2
0.0762785155697408,-0.152401885252873,0.48,0.496,1,Neurons,Psap
0.0766149837954015,-0.165247474359965,0.253,0.275,1,Neurons,Cdc123
0.077852702899276,0.133187147046612,0.139,0.117,1,Neurons,Pdpk1
0.0778848640541901,0.132120220393564,0.177,0.152,1,Neurons,Mrpl54
0.0789160098093384,-0.134713890288311,0.186,0.211,1,Neurons,Mtpn
0.0791021332165655,0.165687249879055,0.278,0.249,1,Neurons,Hnrnph3
0.0796905846891969,0.11866954562104,0.142,0.119,1,Neurons,Rsph9
0.0800155397275119,-0.130547482234644,0.105,0.124,1,Neurons,Akap17b
0.0807547347961724,0.106649562124879,0.252,0.223,1,Neurons,Taok3
0.0818508058101814,-0.135728709749418,0.234,0.259,1,Neurons,Pcnp
0.0819730797434405,0.12218856670022,0.11,0.089,1,Neurons,Ppp1r12b
0.083350147169875,-0.165677793370836,0.173,0.195,1,Neurons,Ypel5
0.0841383757065424,-0.192899593321743,0.345,0.362,1,Neurons,Clu
0.0852296709854478,0.190135945688499,0.18,0.157,1,Neurons,Sgcz
0.0858827271705468,0.169257452319181,0.113,0.095,1,Neurons,Fdx1l
0.0859083364791563,-0.186746784152269,0.136,0.156,1,Neurons,Bhlhb9
0.086702021458047,-0.191850802108261,0.197,0.217,1,Neurons,Cd99l2
0.0873036958680064,-0.126563490956283,0.123,0.144,1,Neurons,Fbxo11
0.0875616516372158,0.168973090611271,0.154,0.133,1,Neurons,Eri3
0.0880142080619653,0.10620355547859,0.207,0.181,1,Neurons,Phf20l1
0.0885185063621094,-0.126056822913466,0.12,0.14,1,Neurons,Srp54a
0.0886441089131892,-0.14520700595367,0.171,0.194,1,Neurons,B3gnt1
0.0889819142458366,-0.142231122293635,0.48,0.496,1,Neurons,Kif21a
0.0891402385710703,0.10525996859235,0.265,0.236,1,Neurons,Grik2
0.0892161150131499,-0.17728291017582,0.132,0.152,1,Neurons,Lhfpl4
0.0892644035560965,0.120946155575315,0.111,0.092,1,Neurons,Sh3glb1
0.0897494053476595,-0.149707627281225,0.388,0.408,1,Neurons,Arl3
0.090162515284823,-0.106359079693192,0.085,0.103,1,Neurons,Zfp644
0.0902915462958311,-0.161195106014427,0.232,0.254,1,Neurons,Tspyl4
0.0908161609845331,-0.185160131632076,0.156,0.177,1,Neurons,Appbp2
0.0924788900865116,-0.126047623568834,0.108,0.127,1,Neurons,Rnf6
0.0935655073108802,-0.115124663806428,0.09,0.109,1,Neurons,Tln2
0.0936627367664697,-0.149816618854512,0.096,0.114,1,Neurons,Wtap
0.0941893830505995,-0.300309647805478,0.097,0.113,1,Neurons,Gstm1
0.0942291150305377,-0.141833689150587,0.183,0.206,1,Neurons,Eif1a
0.0957228802320442,-0.142349730643474,0.109,0.128,1,Neurons,Anapc4
0.0981454256042253,-0.133671965548049,0.434,0.453,1,Neurons,Tubb2b
0.098473140970195,-0.104365264687298,0.277,0.3,1,Neurons,Usp14
0.0988947339999504,0.137404713653697,0.117,0.098,1,Neurons,Ebpl
0.0990214093569144,0.179621754101467,0.292,0.263,1,Neurons,Pcdh9
0.0998116972639143,0.115554766571544,0.309,0.282,1,Neurons,Prpf4b
0.100538903094521,0.113036046863033,0.219,0.194,1,Neurons,1110001J03Rik
0.100662450634485,-0.100702593599337,0.162,0.184,1,Neurons,Snx2
0.101420345140279,0.10903566057106,0.215,0.19,1,Neurons,Supt6
0.10147565352942,0.106419877328348,0.106,0.089,1,Neurons,Ift52
0.101510663140241,-0.123596211251642,0.17,0.192,1,Neurons,Vimp
0.10184933428229,-0.154463259693063,0.093,0.11,1,Neurons,Zmat1
0.10188180388828,-0.182337137694403,0.336,0.357,1,Neurons,Ppp3ca
0.102374309522239,0.13018777434841,0.287,0.26,1,Neurons,Gm26951
0.102875527431468,-0.119283295605724,0.181,0.203,1,Neurons,Cadm3
0.103278769969062,0.144523766515709,0.159,0.139,1,Neurons,Slu7
0.104282714368369,0.119345144186653,0.109,0.092,1,Neurons,Max
0.10435251840237,0.12269192789951,0.193,0.169,1,Neurons,Pde4dip
0.104512805993379,0.169390797400789,0.123,0.104,1,Neurons,Trpm7
0.105077926719558,0.112519165096309,0.125,0.106,1,Neurons,Creb3
0.105090920878637,0.11127797495261,0.129,0.109,1,Neurons,Stoml2
0.10561954706192,0.124752531391626,0.134,0.115,1,Neurons,Hist3h2ba
0.105643176764194,0.137096419139368,0.244,0.219,1,Neurons,Gkap1
0.106227564548121,-0.141402869162135,0.095,0.112,1,Neurons,Fbxo25
0.106559363675346,-0.121152322019117,0.476,0.488,1,Neurons,Eno2
0.106648886396553,0.102753633498168,0.35,0.322,1,Neurons,Uqcc2
0.106867285750405,-0.113320052767695,0.09,0.107,1,Neurons,Clpx
0.107118746982922,-0.112634643133033,0.491,0.515,1,Neurons,Mrfap1
0.107394734070021,-0.128269042803758,0.299,0.32,1,Neurons,Sumo2
0.109323471074059,-0.146780791555158,0.385,0.403,1,Neurons,Csde1
0.10979681043504,-0.184996238021328,0.3,0.317,1,Neurons,Ccdc47
0.10984945906393,-0.159781488365815,0.087,0.104,1,Neurons,Zfp260
0.109925976483854,0.238131882899216,0.151,0.132,1,Neurons,Nrgn
0.111122984301162,-0.108108613007391,0.091,0.108,1,Neurons,Fbxl16
0.111713738628516,0.129121304711503,0.102,0.086,1,Neurons,Ppp1r21
0.112251263682007,-0.225630332067754,0.124,0.141,1,Neurons,L1cam
0.113551575425968,0.119124825607662,0.124,0.105,1,Neurons,Uba2
0.114041265635204,-0.102892736678537,0.305,0.328,1,Neurons,Atp6v1c1
0.114238857890967,-0.175476903785935,0.331,0.346,1,Neurons,Ndufa10
0.114312536447085,-0.161880100586296,0.098,0.115,1,Neurons,Rnf13
0.114564507736947,-0.1518509401526,0.101,0.119,1,Neurons,Gabrg1
0.115571905263854,-0.15494712078913,0.117,0.134,1,Neurons,Dctn1
0.115906264613092,-0.11131418626194,0.241,0.267,1,Neurons,Tatdn1
0.116693470672071,-0.149819033634842,0.105,0.123,1,Neurons,Tef
0.118415444518334,0.117962914827382,0.137,0.118,1,Neurons,Mkln1
0.118654506394769,0.126999043578128,0.364,0.338,1,Neurons,Dhx32
0.119577973974989,0.168154612848758,0.162,0.141,1,Neurons,Pde4b
0.119593173212074,0.120422519499782,0.103,0.087,1,Neurons,Plxna4
0.119867174653257,0.120272009672414,0.119,0.102,1,Neurons,Ccnc
0.120451927283518,-0.168816202480322,0.222,0.243,1,Neurons,Actr2
0.120688489095752,-0.174293301859602,0.794,0.797,1,Neurons,Scg2
0.120789923935778,-0.173048575879867,0.393,0.402,1,Neurons,Tulp4
0.120827701058395,0.132533346799512,0.394,0.37,1,Neurons,Ube2k
0.121754026954144,-0.203803388261347,0.262,0.277,1,Neurons,Hspa9
0.121823307572165,-0.1826623517518,0.143,0.161,1,Neurons,Acadsb
0.121888792002744,-0.139763634962468,0.198,0.219,1,Neurons,Gm10282
